# {"env_id": "CarlaUrbanIntersection8425-v0", "t_start": 1583051686.1227748} 
r,l,t
0.940528,1,71481.146052
143.296364,143,71482.780427
0.939899,1,71483.20951
146.300379,146,71484.858727
0.94073,1,71485.298926
122.180394,122,71486.725576
0.950521,1,71487.143045
139.277757,139,71488.758585
0.941309,1,71489.193034
146.304151,146,71490.868944
0.938541,1,71491.282139
137.24807,137,71492.833612
0.944867,1,71493.250458
135.258405,135,71494.853249
0.94339,1,71495.291353
136.262866,136,71496.882667
0.942975,1,71497.29483
140.311645,140,71498.982396
0.937891,1,71499.3962
129.231344,129,71500.929132
0.945539,1,71501.350662
139.323447,139,71518.94751
0.930104,1,71519.357185
120.159763,120,71520.747778
0.952564,1,71521.149433
158.383787,158,71522.942411
0.931779,1,71523.367954
124.192419,124,71524.798126
0.950167,1,71525.225207
160.387754,160,71527.029115
0.931556,1,71527.446162
124.185919,124,71528.866453
0.950823,1,71529.295208
162.406067,162,71531.146101
0.929515,1,71531.62143
121.179684,121,71533.032408
0.951198,1,71533.473451
124.192438,124,71534.933532
0.949361,1,71535.382082
139.269714,139,71536.97561
0.942131,1,71537.405782
143.297628,143,71539.062172
0.938669,1,71539.473481
135.254841,135,71541.04172
0.943667,1,71541.460389
162.413674,162,71543.3291
0.927842,1,71543.762447
122.181605,122,71545.167893
0.951331,1,71545.597473
132.236814,132,71547.144354
0.945033,1,71547.557544
123.227797,123,71564.020872
0.943568,1,71564.419327
146.316798,146,71566.111137
0.93802,1,71566.536798
132.227308,132,71568.076272
0.94625,1,71568.499197
152.360297,152,71570.279688
0.933257,1,71570.712359
124.186218,124,71572.148891
0.950553,1,71572.587783
165.431524,165,71574.462883
0.927244,1,71574.870882
125.177178,125,71576.271889
0.952032,1,71576.698039
154.361448,154,71578.461689
0.933983,1,71578.873361
124.192927,124,71580.322148
0.949332,1,71580.733618
156.373331,156,71582.500239
0.93361,1,71582.916168
126.192212,126,71584.352397
0.949893,1,71584.74359
156.386637,156,71586.557985
0.930989,1,71586.989736
121.168783,121,71588.389571
0.951854,1,71588.818853
165.436413,165,71590.725531
0.92654,1,71591.141329
119.165989,119,71592.529347
0.951655,1,71592.940639
141.352173,141,71609.485408
0.934944,1,71609.898711
126.196444,126,71611.342198
0.949297,1,71611.778555
161.418041,161,71613.635054
0.928498,1,71614.063729
123.180121,123,71615.478215
0.950986,1,71615.899483
157.370543,157,71617.686542
0.933188,1,71618.102068
120.171309,120,71619.49547
0.952244,1,71619.919738
160.392648,160,71621.746838
0.930237,1,71622.155152
122.169537,122,71623.556666
0.952062,1,71623.975367
162.414198,162,71625.815752
0.929144,1,71626.219043
121.16373,121,71627.599572
0.952487,1,71628.026174
151.371602,151,71629.860401
0.929613,1,71630.355288
117.167864,117,71631.762703
0.951004,1,71632.184962
124.209846,124,71633.679408
0.947089,1,71634.109094
135.251543,135,71635.676308
0.943436,1,71636.119804
129.244219,129,71654.348973
0.938034,1,71654.441959
219.875637,219,71656.923815
0.887715,1,71657.367576
421.619469,419,71662.18351
82.046662,82,71663.538794
0.953967,1,71663.982104
142.304712,142,71665.649409
0.938559,1,71666.087905
126.178761,126,71667.52649
0.950892,1,71668.064184
133.253603,133,71669.632557
0.943456,1,71670.074903
118.197447,118,71671.612158
0.948446,1,71672.044106
127.268296,127,71673.642479
0.942478,1,71674.055698
145.314781,145,71675.746898
0.937956,1,71676.172002
128.214363,128,71677.656832
0.948287,1,71678.093204
164.445479,164,71679.997672
0.925905,1,71680.416149
121.174298,121,71681.836318
0.951152,1,71682.273973
112.140601,112,71699.15675
0.949233,1,71699.280805
149.346959,149,71701.006266
0.934562,1,71701.473629
168.46671,168,71703.398212
0.923609,1,71703.841581
122.176487,122,71705.257366
0.951482,1,71705.686741
133.245769,133,71707.228376
0.944571,1,71707.652913
138.279075,138,71709.25773
0.942159,1,71709.683924
143.323178,143,71711.360417
0.93824,1,71711.797058
128.219097,128,71713.31175
0.946701,1,71713.74617
157.401181,157,71715.579992
0.929513,1,71716.000552
119.164037,119,71717.394907
0.952181,1,71717.8255
158.379856,158,71719.606259
0.932148,1,71720.090798
122.175171,122,71721.495739
0.951368,1,71721.909616
157.380582,157,71723.712152
0.932069,1,71724.151268
119.165755,119,71725.542335
0.951971,1,71725.952786
158.405674,158,71727.805373
0.928836,1,71728.234864
106.147652,106,71745.970577
0.954289,1,71746.815841
146.295319,146,71748.524202
0.938474,1,71748.976651
282.35603,281,71752.130075
113.223373,113,71753.819913
0.937139,1,71754.241823
446.846788,444,71759.254506
83.051743,83,71760.621748
0.95309,1,71761.068961
130.200058,130,71762.54179
0.949165,1,71762.94231
147.35473,147,71764.684265
0.93328,1,71765.10263
138.281556,138,71766.730178
0.940272,1,71767.162575
128.215398,128,71768.675421
0.946216,1,71769.092456
138.286151,138,71770.707967
0.941294,1,71771.119252
145.301814,145,71772.763243
0.940122,1,71773.161101
130.232893,130,71790.375215
0.941781,1,71790.783829
161.412385,161,71792.649022
0.928695,1,71793.0954
122.184269,122,71794.513707
0.950889,1,71794.957301
125.201007,125,71796.425556
0.948928,1,71796.837389
143.289831,143,71798.460244
0.940922,1,71798.884487
146.316786,146,71800.560764
0.937397,1,71800.990359
130.239236,130,71802.520557
0.945207,1,71802.939733
159.409616,159,71804.775662
0.929766,1,71805.211276
122.178545,122,71806.62964
0.950933,1,71807.049536
153.356029,153,71808.80057
0.934492,1,71809.253016
119.166627,119,71810.635416
0.951805,1,71811.055835
163.420984,163,71812.940103
0.928112,1,71813.345558
119.165197,119,71814.752657
0.951569,1,71815.172256
149.338388,149,71816.891304
0.935669,1,71817.302796
132.22205,132,71818.809482
0.947254,1,71819.264208
126.252088,126,71836.579997
0.943277,1,71837.021116
137.262562,137,71838.611015
0.942599,1,71839.033181
147.318258,147,71840.702795
0.938159,1,71841.142056
129.220992,129,71842.645144
0.947177,1,71843.101483
154.359922,154,71844.845019
0.934231,1,71845.268387
127.20049,127,71846.720809
0.948913,1,71847.147173
160.405121,160,71848.9759
0.92997,1,71849.372062
121.165215,121,71850.758133
0.953005,1,71851.180074
151.354556,151,71852.93246
0.934178,1,71853.428038
123.183901,123,71854.847284
0.950919,1,71855.275743
165.439951,165,71857.153463
0.92683,1,71857.575951
127.186997,127,71859.025978
0.950421,1,71859.463426
126.187431,126,71860.895871
0.950283,1,71861.319403
139.28195,139,71862.920746
0.941563,1,71863.355555
145.323181,145,71865.026735
0.937678,1,71865.425036
127.27503,127,71881.782506
0.94313,1,71882.205687
132.246398,132,71883.771147
0.943501,1,71884.201943
133.238157,133,71885.742263
0.945841,1,71886.171236
149.340728,149,71887.872653
0.935864,1,71888.292456
128.204827,128,71889.764512
0.948681,1,71890.203393
167.441277,167,71892.077852
0.927197,1,71892.492651
120.168061,120,71893.883215
0.951842,1,71894.290275
159.380641,159,71896.088203
0.932676,1,71896.493713
117.161635,117,71897.877516
0.952882,1,71898.361928
164.431472,164,71900.233357
0.927581,1,71900.673587
118.171762,118,71902.076027
0.951508,1,71902.516826
130.229047,130,71904.041284
0.946025,1,71904.45767
138.263624,138,71906.03967
0.943352,1,71906.479702
143.306365,143,71908.152319
0.938844,1,71908.631414
126.18736,126,71925.622169
0.949218,1,71925.708751
166.483796,166,71927.700417
0.921703,1,71928.141977
119.158369,119,71929.530676
0.952954,1,71929.975451
164.42665,164,71931.838466
0.92758,1,71932.259495
121.173693,121,71933.655627
0.951649,1,71934.081776
161.408084,161,71935.936566
0.928284,1,71936.354408
118.155803,118,71937.735934
0.952498,1,71938.143075
156.374145,156,71939.932453
0.932489,1,71940.357836
119.168712,119,71941.75048
0.952029,1,71942.184869
169.475307,169,71944.132416
0.922681,1,71944.603039
122.177521,122,71946.019072
0.950973,1,71946.429929
123.183304,123,71947.857413
0.950569,1,71948.278568
141.281252,141,71949.867918
0.942477,1,71950.315109
147.322297,147,71951.98414
0.938014,1,71952.396457
132.24195,132,71953.935781
0.945097,1,71954.376144
140.32867,140,71971.846775
0.933949,1,71972.265417
127.196755,127,71973.717338
0.949765,1,71974.156337
158.386803,158,71975.973623
0.93093,1,71976.409202
120.171022,120,71977.825041
0.951584,1,71978.243778
149.340466,149,71979.965622
0.935749,1,71980.395148
133.2257,133,71981.900999
0.94674,1,71982.308386
152.351877,152,71984.069808
0.934329,1,71984.488282
119.186612,119,71985.928268
0.950456,1,71986.361148
158.382441,158,71988.18029
0.931082,1,71988.601433
120.174098,120,71990.021686
0.951406,1,71990.451854
159.403758,159,71992.289424
0.929575,1,71992.729228
119.165769,119,71994.131474
0.952183,1,71994.54601
151.337677,151,71996.283406
0.935396,1,71996.715876
124.196154,124,71998.176185
0.949395,1,71998.589319
155.388895,155,72000.382229
0.931596,1,72000.79459
109.167887,109,72017.405328
0.952085,1,72017.812884
161.423764,161,72019.661061
0.928431,1,72020.101191
121.173018,121,72021.499774
0.951955,1,72021.916538
153.378918,153,72023.709583
0.931731,1,72024.121066
119.166766,119,72025.526289
0.951856,1,72025.954433
162.431832,162,72027.84783
0.926764,1,72028.337121
125.191826,125,72029.778794
0.949891,1,72030.202266
119.166077,119,72031.584374
0.952369,1,72031.990356
145.303361,145,72033.647781
0.939627,1,72034.038054
140.285338,140,72035.658807
0.940728,1,72036.064061
151.349438,151,72037.804125
0.93551,1,72038.222488
180.245014,180,72040.298089
0.94596,1,72040.684856
151.353186,151,72042.430225
0.933684,1,72042.830844
133.231334,133,72044.358298
0.94578,1,72044.787601
110.144827,110,72061.964478
0.950475,1,72062.395847
178.539724,178,72064.449346
0.916689,1,72064.877407
143.281822,143,72066.486534
0.941727,1,72066.928571
159.407062,159,72068.733325
0.929916,1,72069.188833
338.855912,337,72072.983529
316.85479,315,72076.922666
0.878095,1,72077.320101
120.162524,120,72078.703722
0.952767,1,72079.117832
451.88142,449,72084.090917
409.695508,407,72104.241299
86.06372,86,72105.619709
0.952747,1,72106.039433
124.202852,124,72107.500823
0.948258,1,72107.938296
148.345492,148,72109.665983
0.934985,1,72110.121325
125.189222,125,72111.562032
0.950382,1,72111.975385
166.440789,166,72113.860652
0.927257,1,72114.322785
122.177902,122,72115.735539
0.950735,1,72116.166044
126.200634,126,72117.625595
0.948728,1,72118.029015
141.298066,141,72119.681259
0.939488,1,72120.155849
132.218734,132,72121.659258
