# {"t_start": 1583034220.150134, "env_id": "Hopper-v2"} 
r,l,t
186.074981,83,653.548545
213.918786,94,654.045727
205.901082,91,654.498787
180.446684,83,654.958225
203.37368,91,655.3891
203.606649,92,655.845621
205.855231,96,656.305682
215.453031,96,656.764359
212.140139,93,740.104665
198.463603,89,740.492846
193.817881,87,740.891853
193.000115,87,741.28313
157.51735,78,741.627211
193.813879,87,742.02153
181.767388,84,742.407638
207.556381,92,742.81348
187.191177,85,743.183649
59.49722,36,743.340485
206.511295,93,743.753368
197.511923,90,744.16735
205.876823,91,744.567909
207.116842,91,744.979059
197.215185,89,745.387367
192.63927,90,745.77973
213.579437,94,746.193088
194.33674,87,746.575003
205.905555,93,747.029282
207.90357,92,747.464375
190.663644,86,747.878749
198.26633,89,748.338297
51.134308,31,748.514102
192.350825,86,748.899129
198.318461,89,749.337681
216.468491,97,831.171857
214.778774,94,831.99176
207.080025,91,832.770474
181.504998,83,833.485406
204.667045,92,834.249319
190.726516,85,834.926058
189.269725,85,835.636867
205.417147,90,836.410996
188.628489,85,837.152292
205.376353,91,837.957738
215.990887,97,838.845207
208.495688,92,839.561361
198.351232,88,840.03721
207.703105,92,840.513525
212.904085,94,840.999178
194.249714,87,841.442173
215.171079,94,841.877621
193.703301,86,842.252666
195.108991,87,842.641617
209.465092,92,843.075863
218.179144,96,843.544966
217.243418,96,844.001787
157.276868,75,917.384459
201.971591,89,918.079502
201.393608,89,918.795859
204.950548,92,919.531046
208.72914,93,920.261307
214.576635,105,921.137439
208.651196,92,921.845908
187.591975,85,922.511123
204.072601,90,923.29793
218.004312,96,924.132145
78.677272,46,924.504737
214.705849,94,925.259907
183.14106,83,925.952487
209.390772,93,926.667181
59.8385,36,926.962354
205.541991,90,927.691278
208.583854,92,928.505589
188.641195,86,929.259585
214.074943,94,930.101984
190.592079,86,930.854914
197.912807,88,931.628738
52.342084,32,931.881492
184.271506,84,932.646931
196.373737,87,933.35324
193.790079,87,934.113921
203.111047,90,972.424538
202.011649,90,972.857976
207.00122,91,973.272821
198.243799,88,973.703012
157.172357,75,974.033647
203.165132,90,974.428552
196.28772,88,974.814047
214.168164,93,975.248194
197.012966,88,975.648441
207.298576,92,976.068642
213.755461,94,976.5297
199.595349,88,976.971297
57.099583,35,977.138506
216.036228,95,977.57455
50.387916,30,977.723459
201.724166,89,978.161078
201.292692,89,978.576162
213.857993,93,979.049411
210.944068,92,979.489596
109.127826,59,979.769646
216.985965,94,980.179634
210.054025,92,980.593091
217.529868,95,981.018493
214.647151,94,981.459418
214.585324,93,1015.524446
209.25648,93,1015.965572
210.432564,92,1016.406636
213.438219,93,1016.862759
191.411317,88,1017.373416
207.128442,92,1017.954342
194.752976,87,1018.42246
199.661449,90,1018.871537
199.147265,89,1019.258839
200.303533,90,1019.656868
211.460617,93,1020.086877
188.724851,84,1020.456452
209.246415,93,1020.896527
205.857743,91,1021.320066
200.867487,89,1021.707883
205.156885,93,1022.115052
215.421398,93,1022.557851
213.978262,93,1022.974232
195.068188,87,1023.362182
206.024532,91,1023.775075
210.72643,93,1024.214977
209.142918,92,1024.628489
204.926266,90,1025.039906
207.504529,91,1069.081883
205.850589,91,1069.791849
197.834228,88,1070.249221
212.881607,94,1070.744577
187.05285,85,1071.197921
201.895757,90,1071.679099
222.982061,97,1072.213055
214.710125,94,1072.704696
207.24351,93,1073.159091
218.461852,95,1073.655552
206.527283,91,1074.078916
206.11064,91,1074.525857
204.489615,91,1075.020652
221.018557,98,1075.532748
208.244974,92,1076.004556
214.899829,93,1076.474753
200.434273,88,1076.925475
207.9756,92,1077.361452
203.407189,89,1077.836105
223.652577,100,1078.345674
206.781725,91,1078.82359
209.673942,92,1079.253992
213.02875,93,1109.759741
213.712365,93,1110.260563
213.683846,93,1110.746162
219.723059,96,1111.231418
205.665714,90,1111.709399
210.187335,93,1112.231893
215.066539,93,1112.724491
213.801761,93,1113.231099
215.256155,94,1113.745195
192.379658,87,1114.228486
207.134828,91,1114.667097
209.987032,93,1115.122319
220.873264,95,1115.559642
214.335564,93,1116.005728
217.214221,94,1116.448084
214.498974,94,1116.935209
210.976231,93,1117.495546
202.37452,89,1118.050404
209.20489,92,1118.564225
213.642288,95,1119.015302
195.70744,86,1119.493102
208.279703,90,1119.979498
211.260799,92,1155.360027
211.517526,93,1156.192356
209.787598,93,1156.907725
213.493543,93,1157.678244
211.684969,93,1158.38918
220.415122,95,1159.123946
211.339808,93,1159.853455
220.011891,95,1160.60964
215.502365,94,1161.350399
208.983537,94,1162.08436
211.595605,93,1162.810995
215.413876,95,1163.561907
206.124199,91,1164.271133
222.282479,96,1165.167247
220.590047,96,1166.004003
213.842343,94,1166.842512
219.387137,96,1167.59983
216.490302,94,1168.344864
226.646481,97,1169.092328
219.677028,95,1169.850206
217.74043,94,1170.611924
210.234151,92,1171.360026
206.793892,91,1208.960215
