# {"env_id": "Hopper-v2", "t_start": 1582971912.1432471} 
r,l,t
7.846101,12,378.165251
6.260571,9,378.240402
6.34465,9,378.314839
11.053493,16,378.447943
4.373107,8,378.513948
12.380565,15,378.639564
9.303646,16,378.778283
11.376374,16,378.917966
19.812548,24,379.117378
10.923312,17,379.25987
7.585616,14,379.374583
6.125207,15,379.498524
6.241838,17,379.641628
9.272125,12,379.744028
13.067452,14,379.864728
5.59391,9,379.939943
6.00004,10,507.900205
10.107213,15,508.119815
8.043943,11,508.264945
7.441345,11,508.39945
8.397787,11,508.52865
11.832946,13,508.669612
6.376323,8,508.759681
6.023075,8,508.854116
5.145413,9,508.953382
4.331693,8,509.061842
3.871391,12,509.23054
13.255886,15,509.418013
6.953579,9,509.528108
6.863201,12,509.698698
9.678828,26,510.049787
4.075653,9,510.161974
4.616656,11,510.310287
8.7611,10,510.428492
6.485124,10,510.554522
12.290175,13,510.703712
6.868562,14,510.878967
4.725508,19,511.138984
5.281596,11,511.275515
6.158558,11,511.414
8.157646,12,511.552082
6.739039,9,511.669439
4.108662,7,511.765978
5.60157,9,511.875359
5.895785,10,512.007721
6.289548,9,512.113624
7.228244,9,512.227992
7.496745,12,512.381933
7.715967,10,512.494423
3.599962,8,512.601002
10.009527,12,512.75042
5.862566,8,512.868074
9.973712,12,513.015385
7.953012,10,513.133572
7.383508,9,513.240187
3.491004,9,513.348685
4.634819,9,513.447585
4.467187,7,513.532061
11.0189,13,513.685051
5.490053,9,513.784808
5.307023,10,513.916501
6.820089,9,514.022901
7.471531,9,514.133187
7.775617,12,514.303336
4.022665,11,514.43939
5.484615,20,514.681275
9.655764,11,514.816394
8.08642,12,514.975683
7.247796,16,515.216554
4.170363,7,515.331081
12.44185,13,515.516062
9.2074,14,515.662884
5.964664,8,515.738618
8.776846,11,515.84998
6.287192,11,515.976916
6.741459,11,516.114903
3.855475,10,516.23387
2.273307,17,516.430696
10.717353,12,516.592606
14.431581,19,516.84916
10.161057,13,517.005657
10.762545,15,517.199286
7.585919,9,517.313508
8.408537,13,517.463219
6.715992,12,517.597764
10.982343,17,517.798953
9.676229,12,517.937246
9.392266,11,518.066607
4.384733,7,518.155064
10.086764,12,518.283974
5.037562,12,518.413531
5.671405,10,518.532733
10.380418,12,518.668959
7.574436,11,518.786494
3.276777,10,518.898146
7.516199,12,519.024682
9.319319,24,519.341391
6.541547,12,519.487326
5.04343,10,519.612518
5.785588,8,519.697838
5.039082,9,519.812683
7.866736,15,520.003807
4.790229,12,520.135859
7.436961,9,520.241331
13.489587,19,520.476477
4.633399,8,520.580406
5.663705,10,520.700302
8.846312,11,520.845863
12.684206,15,521.046869
8.5714,12,521.241588
9.167546,11,521.392225
5.405491,8,521.490419
16.514338,18,521.712902
6.612997,11,521.840542
2.631335,14,522.01052
6.572862,10,522.138961
8.326273,10,522.256214
11.977219,15,522.429082
9.851765,15,522.58965
4.943794,7,522.669628
6.357088,11,522.799562
8.327906,12,522.941379
6.490137,8,523.039673
12.7031,16,523.245941
6.948918,10,523.362351
8.973096,17,523.611563
8.262918,12,523.762519
7.073894,9,523.897569
6.386672,9,524.0305
7.156253,9,524.156328
7.097807,11,524.314923
3.791329,12,524.461895
