# {"env_id": "HalfCheetah-v2", "t_start": 1582899377.4421363} 
r,l,t
-2062.240928,1000,15131.371353
-1681.384385,1000,15140.995104
-1862.530921,1000,15220.741808
-1789.253222,1000,15230.253888
-1587.154364,1000,15309.904763
-1633.610809,1000,15318.971868
-1587.917526,1000,15398.173511
-1540.485615,1000,15407.640013
-1497.244956,1000,15486.698371
-1719.817651,1000,15496.028692
-1808.70054,1000,15505.230006
-1639.455969,1000,15585.244398
-1670.903288,1000,15594.883973
-1480.533004,1000,15673.995064
-1530.848717,1000,15683.448016
-1521.701239,1000,15763.305628
-1660.072412,1000,15772.853878
-1646.036271,1000,15853.692559
-1562.274801,1000,15862.939404
-1321.804378,1000,15944.041636
-1935.959331,1000,15953.698883
-1474.954362,1000,16049.725078
-1249.28316,1000,16058.89733
-1653.572441,1000,16135.955905
-1713.64091,1000,16145.368527
-1271.323835,1000,16224.360192
-1312.577165,1000,16233.759444
-1346.345851,1000,16312.115151
-1154.85683,1000,16321.404491
-1336.169501,1000,16402.1601
-1233.661219,1000,16411.676827
-1295.55963,1000,16490.027293
-1444.645845,1000,16499.48471
-1185.877134,1000,16576.820836
-1190.402913,1000,16586.587475
-1337.868523,1000,16666.728196
-1139.255002,1000,16676.679111
-1225.309574,1000,16755.570202
-1143.940862,1000,16765.465392
-1187.514742,1000,16843.826587
-1210.302695,1000,16853.844965
-1107.87997,1000,16931.672564
-1162.492305,1000,16941.122383
-1122.92764,1000,17019.072992
-1035.008411,1000,17028.46356
-1141.019866,1000,17105.296953
-1111.592346,1000,17114.577816
-891.580139,1000,17191.977264
-1161.99861,1000,17201.852575
-1017.694688,1000,17279.426862
-1138.486601,1000,17288.967959
-1019.775168,1000,17367.725327
-1025.147682,1000,17377.309311
-967.902122,1000,17386.50043
-748.116744,1000,17463.919213
-914.480538,1000,17473.154825
-1114.934841,1000,17551.014248
-869.668477,1000,17560.566533
-850.080805,1000,17638.338491
-987.795367,1000,17647.881556
-969.37236,1000,17725.921523
-1027.976962,1000,17735.403709
-1030.293341,1000,17814.293236
-782.144805,1000,17823.666726
-1025.589157,1000,17902.335618
-872.470896,1000,17912.004164
-1095.612304,1000,17989.85078
-806.016168,1000,17999.265229
-905.087694,1000,18077.099757
-710.6165,1000,18086.585092
-711.067832,1000,18165.309655
-759.981492,1000,18174.816149
-859.329083,1000,18270.310301
-792.585677,1000,18279.776702
-778.809315,1000,18358.069842
-924.539544,1000,18367.559696
-614.574467,1000,18447.224057
-672.831887,1000,18456.404988
-666.205847,1000,18534.304282
-519.055954,1000,18543.608737
-616.801313,1000,18623.083063
-600.287551,1000,18632.203337
-195.611691,1000,18711.098286
-546.541998,1000,18720.799412
-377.176457,1000,18800.972196
-427.772711,1000,18810.415706
-440.786959,1000,18889.484352
-458.188348,1000,18898.4862
-366.422109,1000,18976.826003
-374.99855,1000,18986.094169
-408.490564,1000,19062.727579
-502.206677,1000,19071.752036
-543.332356,1000,19147.880666
-637.257418,1000,19156.520654
-397.889576,1000,19234.194082
-284.389076,1000,19244.153046
-395.470464,1000,19254.117561
-470.966401,1000,19335.15173
-405.865371,1000,19344.582127
-294.507611,1000,19423.619993
-1235.178705,1000,19433.306071
-330.066544,1000,19510.654403
-133.249062,1000,19520.323108
-380.093609,1000,19597.359535
-1183.491094,1000,19606.83053
-384.248224,1000,19684.338469
-283.796049,1000,19694.431386
-427.793533,1000,19771.425639
-225.903578,1000,19781.54818
-256.03543,1000,19859.409821
-51.583745,1000,19869.406977
-330.365653,1000,19946.879341
-286.343823,1000,19955.922218
-153.163788,1000,20034.945008
-243.80561,1000,20044.779991
-189.848188,1000,20123.231557
-611.153987,1000,20132.88308
52.328517,1000,20210.440592
-142.711268,1000,20219.93353
-181.277951,1000,20297.932233
-182.647831,1000,20307.226351
-226.152215,1000,20384.165796
126.204799,1000,20393.472949
-113.109894,1000,20488.853381
-1125.849774,1000,20498.513186
-172.898866,1000,20574.872056
39.5292,1000,20584.626453
-66.523054,1000,20662.368552
83.366903,1000,20672.186553
-127.703386,1000,20750.913238
-162.042736,1000,20760.779326
-1017.842802,1000,20838.032028
-74.524538,1000,20847.967413
213.169664,1000,20925.969723
159.626199,1000,20935.721785
1.437965,1000,21013.390467
48.428414,1000,21022.986331
95.291718,1000,21100.580777
102.634659,1000,21110.250461
144.985989,1000,21119.838648
159.785566,1000,21198.449003
221.957472,1000,21207.940259
50.07429,1000,21286.454436
29.374992,1000,21295.987691
156.288485,1000,21376.134084
-646.532502,1000,21385.511718
-16.93399,1000,21463.104219
307.338269,1000,21472.52218
235.02751,1000,21551.323126
-472.628135,1000,21560.653715
30.337065,1000,21638.684594
176.513988,1000,21648.094417
300.956414,1000,21726.336658
237.204492,1000,21735.639215
258.123007,1000,21814.634673
222.892636,1000,21823.784817
306.994135,1000,21902.804351
275.366852,1000,21912.173333
248.533337,1000,21991.520498
175.227786,1000,22001.004478
568.934565,1000,22079.498863
305.896809,1000,22089.109698
455.899696,1000,22167.02372
484.391336,1000,22176.39688
587.230933,1000,22254.920642
437.436458,1000,22264.229203
494.160163,1000,22343.609497
360.810909,1000,22353.072727
475.802633,1000,22431.485613
520.880764,1000,22440.575992
402.520342,1000,22520.268741
541.664362,1000,22530.070127
346.265936,1000,22610.370492
483.564449,1000,22620.214246
647.230902,1000,22717.888258
369.739371,1000,22727.624966
608.966543,1000,22805.625025
706.478246,1000,22814.868825
533.27855,1000,22893.782477
448.175524,1000,22903.297606
503.098416,1000,22982.086387
715.394228,1000,22991.768713
760.560992,1000,23001.418043
698.515847,1000,23078.750464
674.693953,1000,23088.392087
834.482226,1000,23167.047882
925.256966,1000,23176.79789
686.865463,1000,23255.166443
884.589618,1000,23264.826891
723.737683,1000,23343.15324
880.156835,1000,23352.910532
1020.321347,1000,23431.305358
755.892846,1000,23440.69107
961.998817,1000,23519.846282
856.298414,1000,23529.227154
778.584547,1000,23607.848239
945.771279,1000,23617.347913
796.166155,1000,23696.739189
917.782732,1000,23706.312707
792.464281,1000,23785.074592
1100.137501,1000,23794.590141
1034.408969,1000,23873.48726
1113.26317,1000,23883.049472
1057.334235,1000,23962.022751
1237.782684,1000,23971.660427
1184.93442,1000,24051.531178
131.439054,1000,24060.965857
1009.132023,1000,24140.392129
1040.220183,1000,24149.843508
1071.368318,1000,24230.541238
1239.57279,1000,24240.050019
1215.716622,1000,24321.650517
1292.480791,1000,24330.543457
1177.52355,1000,24409.646837
1063.649304,1000,24418.438207
1009.273133,1000,24496.521863
1169.796025,1000,24505.927914
1419.13134,1000,24584.292879
1193.709668,1000,24593.999076
1512.293284,1000,24672.038862
1215.224624,1000,24681.437074
1425.743003,1000,24759.153775
1406.182927,1000,24768.098122
1263.068011,1000,24777.461247
1161.602964,1000,24854.725447
1326.938315,1000,24864.159576
1367.734348,1000,24958.268627
1431.392031,1000,24967.891287
1480.554256,1000,25046.626403
1437.448012,1000,25056.108471
1521.359699,1000,25134.743678
1462.420326,1000,25144.179966
1624.484995,1000,25224.149929
1506.068717,1000,25233.705154
1623.76571,1000,25314.284524
1486.568539,1000,25323.705265
1660.727833,1000,25403.75938
1607.94839,1000,25413.158204
1670.214188,1000,25491.677743
1499.006706,1000,25501.131227
1817.74773,1000,25579.689623
1753.943977,1000,25589.110185
1752.562597,1000,25668.483235
1831.766091,1000,25677.875938
1713.774189,1000,25757.058664
1618.429702,1000,25766.502065
1821.253357,1000,25846.626685
1493.340691,1000,25856.256892
1724.777316,1000,25935.432716
1822.014046,1000,25944.929638
1693.723155,1000,26025.926654
1828.295351,1000,26035.698431
1934.34949,1000,26117.582533
1862.822134,1000,26125.990624
1750.691685,1000,26206.721114
1692.099216,1000,26216.738486
1619.343423,1000,26296.072277
1851.951698,1000,26305.470433
1916.191415,1000,26383.870124
2053.883081,1000,26394.07825
1909.060297,1000,26471.507623
1599.295384,1000,26480.926239
2030.421171,1000,26558.48201
1850.923184,1000,26567.581245
1703.296859,1000,26647.710836
2042.59031,1000,26657.343663
2028.527549,1000,26667.424607
2006.568676,1000,26746.472144
1727.590559,1000,26755.969397
1634.635667,1000,26832.744492
1996.161586,1000,26842.505928
1855.345308,1000,26922.558602
1971.467025,1000,26931.940066
2172.968129,1000,27010.41787
2023.727628,1000,27019.827866
2069.509831,1000,27098.277034
1942.260949,1000,27107.689535
2030.940799,1000,27202.071422
1955.327194,1000,27211.332203
2134.720099,1000,27289.47861
1795.388248,1000,27299.076248
2107.93176,1000,27379.869245
2154.578082,1000,27390.1566
2098.016343,1000,27470.857626
2087.084391,1000,27480.846594
1999.357872,1000,27559.664299
2206.379757,1000,27569.310122
1954.036781,1000,27648.596448
2055.520106,1000,27657.970776
1995.210711,1000,27736.137857
2077.283899,1000,27745.792887
2090.191,1000,27824.332277
2057.81748,1000,27834.062723
2073.91443,1000,27912.728551
2023.248186,1000,27922.295261
1899.160695,1000,28000.606184
2158.032249,1000,28010.248871
2160.127603,1000,28089.443541
2355.988398,1000,28099.041904
2289.477321,1000,28178.008018
2272.144051,1000,28187.571233
2372.501075,1000,28266.307651
2217.385102,1000,28275.752261
2220.401625,1000,28356.531743
2164.565814,1000,28365.819096
2258.996535,1000,28445.681777
2357.481718,1000,28455.034175
2360.937748,1000,28535.317554
2265.743749,1000,28544.855603
2195.120527,1000,28553.906297
2371.233593,1000,28633.432445
2328.922869,1000,28642.89843
2455.889828,1000,28723.874569
2546.38923,1000,28732.892206
2231.423892,1000,28811.921682
2602.095585,1000,28820.461979
2417.199686,1000,28900.634318
2299.906259,1000,28909.330899
